Age,Gender,Education Level,Job Title,Years of Experience,Salary
32.0,Male,Bachelor'S,Software Engineer,5.0,90000.0
28.0,Female,Master'S,Data Analyst,3.0,65000.0
45.0,Male,Phd,Senior Manager,15.0,150000.0
36.0,Female,Bachelor'S,Sales Associate,7.0,60000.0
52.0,Male,Master'S,Director,20.0,200000.0
29.0,Male,Bachelor'S,Marketing Analyst,2.0,55000.0
42.0,Female,Master'S,Product Manager,12.0,120000.0
31.0,Male,Bachelor'S,Sales Manager,4.0,80000.0
26.0,Female,Bachelor'S,Marketing Coordinator,1.0,45000.0
38.0,Male,Phd,Senior Scientist,10.0,110000.0
29.0,Male,Master'S,Software Developer,3.0,75000.0
48.0,Female,Bachelor'S,Hr Manager,18.0,140000.0
35.0,Male,Bachelor'S,Financial Analyst,6.0,65000.0
40.0,Female,Master'S,Project Manager,14.0,130000.0
27.0,Male,Bachelor'S,Customer Service Rep,2.0,40000.0
44.0,Male,Bachelor'S,Operations Manager,16.0,125000.0
33.0,Female,Master'S,Marketing Manager,7.0,90000.0
39.0,Male,Phd,Senior Engineer,12.0,115000.0
25.0,Female,Bachelor'S,Data Entry Clerk,0.0,35000.0
51.0,Male,Bachelor'S,Sales Director,22.0,180000.0
34.0,Female,Master'S,Business Analyst,5.0,80000.0
47.0,Male,Master'S,Vp Of Operations,19.0,190000.0
30.0,Male,Bachelor'S,It Support,2.0,50000.0
36.0,Female,Bachelor'S,Recruiter,9.0,60000.0
41.0,Male,Master'S,Financial Manager,13.0,140000.0
28.0,Female,Bachelor'S,Social Media Specialist,3.0,45000.0
37.0,Female,Master'S,Software Manager,11.0,110000.0
24.0,Male,Bachelor'S,Junior Developer,1.0,40000.0
43.0,Female,Phd,Senior Consultant,15.0,140000.0
33.0,Male,Master'S,Product Designer,6.0,90000.0
50.0,Male,Bachelor'S,Ceo,25.0,250000.0
31.0,Female,Bachelor'S,Accountant,4.0,55000.0
29.0,Male,Master'S,Data Scientist,3.0,75000.0
39.0,Female,Bachelor'S,Marketing Specialist,10.0,65000.0
46.0,Male,Phd,Senior Manager,20.0,170000.0
27.0,Male,Bachelor'S,Technical Writer,2.0,45000.0
35.0,Female,Bachelor'S,Hr Generalist,7.0,60000.0
42.0,Male,Master'S,Project Engineer,14.0,115000.0
26.0,Female,Bachelor'S,Customer Success Rep,1.0,40000.0
49.0,Male,Bachelor'S,Sales Executive,21.0,160000.0
34.0,Female,Master'S,Ux Designer,5.0,80000.0
48.0,Male,Master'S,Operations Director,18.0,190000.0
30.0,Male,Bachelor'S,Network Engineer,3.0,60000.0
36.0,Female,Bachelor'S,Administrative Assistant,8.0,45000.0
41.0,Male,Master'S,Strategy Consultant,13.0,130000.0
28.0,Female,Bachelor'S,Copywriter,2.0,40000.0
32.0,Male,Bachelor'S,Account Manager,5.0,75000.0
45.0,Female,Master'S,Director Of Marketing,16.0,180000.0
38.0,Male,Phd,Senior Scientist,11.0,120000.0
25.0,Male,Bachelor'S,Help Desk Analyst,0.0,35000.0
51.0,Female,Bachelor'S,Customer Service Manager,22.0,130000.0
33.0,Male,Master'S,Business Intelligence Analyst,7.0,85000.0
40.0,Female,Bachelor'S,Event Coordinator,12.0,60000.0
47.0,Male,Master'S,Vp Of Finance,19.0,200000.0
29.0,Female,Bachelor'S,Graphic Designer,3.0,50000.0
36.0,Male,Bachelor'S,Sales Manager,9.0,95000.0
27.0,Female,Master'S,Ux Researcher,2.0,65000.0
43.0,Male,Phd,Senior Engineer,17.0,140000.0
30.0,Female,Bachelor'S,Social Media Manager,4.0,55000.0
35.0,Male,Master'S,Product Manager,7.0,105000.0
51.0,Female,Master'S,Director Of Operations,23.0,170000.0
29.0,Male,Bachelor'S,Marketing Analyst,3.0,50000.0
40.0,Female,Bachelor'S,Hr Manager,12.0,80000.0
47.0,Male,Phd,Senior Data Scientist,21.0,180000.0
26.0,Male,Bachelor'S,Junior Accountant,1.0,35000.0
38.0,Female,Master'S,Digital Marketing Manager,10.0,90000.0
46.0,Male,Bachelor'S,It Manager,19.0,120000.0
31.0,Female,Bachelor'S,Customer Service Representative,5.0,45000.0
34.0,Male,Master'S,Business Development Manager,8.0,90000.0
49.0,Female,Master'S,Senior Financial Analyst,18.0,150000.0
33.0,Male,Bachelor'S,Web Developer,6.0,65000.0
39.0,Female,Bachelor'S,Recruiter,11.0,70000.0
45.0,Male,Phd,Research Director,16.0,190000.0
28.0,Male,Bachelor'S,Technical Support Specialist,2.0,40000.0
42.0,Female,Master'S,Creative Director,14.0,120000.0
37.0,Male,Bachelor'S,Project Manager,10.0,95000.0
50.0,Female,Bachelor'S,Operations Manager,22.0,160000.0
32.0,Male,Master'S,Senior Software Engineer,6.0,100000.0
48.0,Female,Master'S,Human Resources Director,20.0,180000.0
30.0,Female,Bachelor'S,Content Marketing Manager,3.0,55000.0
36.0,Male,Bachelor'S,Technical Recruiter,8.0,70000.0
41.0,Female,Master'S,Data Analyst,13.0,80000.0
25.0,Male,Bachelor'S,Sales Representative,0.0,30000.0
52.0,Male,Phd,Chief Technology Officer,24.0,250000.0
29.0,Female,Bachelor'S,Junior Designer,2.0,40000.0
34.0,Female,Master'S,Financial Advisor,10.0,95000.0
27.0,Male,Bachelor'S,Junior Account Manager,2.0,45000.0
40.0,Female,Bachelor'S,Hr Generalist,15.0,80000.0
46.0,Male,Master'S,Senior Project Manager,21.0,135000.0
31.0,Female,Bachelor'S,Marketing Coordinator,6.0,55000.0
36.0,Male,Phd,Principal Scientist,11.0,120000.0
29.0,Female,Bachelor'S,Sales Associate,3.0,40000.0
43.0,Male,Bachelor'S,Supply Chain Manager,18.0,105000.0
52.0,Female,Master'S,Senior Marketing Manager,25.0,170000.0
33.0,Male,Bachelor'S,Business Analyst,7.0,75000.0
39.0,Female,Bachelor'S,Training Specialist,12.0,65000.0
47.0,Male,Phd,Research Scientist,22.0,160000.0
26.0,Male,Bachelor'S,Junior Software Developer,1.0,35000.0
38.0,Female,Master'S,Public Relations Manager,10.0,90000.0
45.0,Male,Bachelor'S,Operations Analyst,20.0,110000.0
31.0,Female,Bachelor'S,Event Coordinator,5.0,45000.0
35.0,Male,Master'S,Product Marketing Manager,8.0,95000.0
49.0,Female,Master'S,Senior Hr Manager,19.0,150000.0
33.0,Male,Bachelor'S,Junior Web Developer,5.0,50000.0
39.0,Female,Master'S,Senior Project Coordinator,13.0,80000.0
44.0,Male,Phd,Chief Data Officer,16.0,220000.0
30.0,Female,Bachelor'S,Digital Content Producer,3.0,50000.0
36.0,Male,Bachelor'S,It Support Specialist,7.0,60000.0
41.0,Female,Master'S,Senior Marketing Analyst,14.0,100000.0
28.0,Male,Bachelor'S,Customer Success Manager,2.0,40000.0
42.0,Female,Master'S,Senior Graphic Designer,15.0,110000.0
37.0,Male,Bachelor'S,Software Project Manager,9.0,95000.0
50.0,Female,Bachelor'S,Supply Chain Analyst,22.0,130000.0
32.0,Male,Master'S,Senior Business Analyst,6.0,90000.0
23.0,Female,Bachelor'S,Junior Marketing Analyst,0.5,35000.0
31.0,Male,Master'S,Senior Financial Analyst,6.0,95000.0
40.0,Female,Bachelor'S,Office Manager,15.0,65000.0
48.0,Male,Phd,Principal Engineer,20.0,170000.0
29.0,Female,Bachelor'S,Junior Hr Generalist,3.0,45000.0
35.0,Male,Master'S,Senior Product Manager,10.0,120000.0
42.0,Female,Bachelor'S,Sales Manager,17.0,100000.0
53.0,Male,Master'S,Director Of Marketing,25.0,180000.0
33.0,Female,Bachelor'S,Junior Operations Analyst,5.0,50000.0
38.0,Male,Bachelor'S,Customer Service Manager,11.0,80000.0
44.0,Female,Phd,Senior Scientist,16.0,140000.0
26.0,Male,Bachelor'S,Junior Accountant,2.0,40000.0
37.0,Female,Master'S,Senior Hr Generalist,9.0,95000.0
45.0,Male,Bachelor'S,Sales Operations Manager,18.0,110000.0
32.0,Female,Bachelor'S,Marketing Coordinator,4.0,50000.0
34.0,Male,Master'S,Senior Software Developer,8.0,105000.0
50.0,Female,Master'S,Director Of Operations,21.0,160000.0
29.0,Male,Bachelor'S,Junior Web Designer,3.0,45000.0
40.0,Female,Master'S,Senior Training Specialist,12.0,100000.0
47.0,Male,Phd,Senior Research Scientist,22.0,160000.0
27.0,Male,Bachelor'S,Junior Sales Representative,1.0,35000.0
39.0,Female,Bachelor'S,Administrative Assistant,10.0,55000.0
46.0,Male,Master'S,Senior Project Manager,19.0,140000.0
30.0,Female,Bachelor'S,Junior Marketing Manager,4.0,50000.0
36.0,Male,Bachelor'S,Junior Data Analyst,7.0,60000.0
43.0,Female,Master'S,Senior Product Marketing Manager,14.0,120000.0
28.0,Male,Bachelor'S,Junior Business Analyst,2.0,40000.0
41.0,Female,Master'S,Senior Marketing Manager,13.0,110000.0
33.0,Male,Bachelor'S,Junior Software Developer,5.0,50000.0
47.0,Male,Bachelor'S,Senior Sales Manager,20.0,135000.0
25.0,Female,Master'S,Junior Marketing Specialist,1.5,40000.0
34.0,Male,Bachelor'S,Senior Business Analyst,8.0,90000.0
42.0,Female,Phd,Senior Data Scientist,16.0,150000.0
31.0,Male,Bachelor'S,Junior Project Manager,4.0,60000.0
38.0,Female,Bachelor'S,Senior Accountant,10.0,80000.0
45.0,Male,Master'S,Director Of Sales,19.0,175000.0
29.0,Female,Bachelor'S,Junior Recruiter,3.0,45000.0
36.0,Male,Master'S,Senior Business Development Manager,11.0,120000.0
43.0,Female,Phd,Senior Product Designer,18.0,140000.0
26.0,Male,Bachelor'S,Junior Customer Support Specialist,2.0,35000.0
37.0,Female,Master'S,Senior Marketing Analyst,9.0,95000.0
44.0,Male,Bachelor'S,Senior It Support Specialist,14.0,110000.0
32.0,Female,Bachelor'S,Junior Financial Analyst,5.0,50000.0
33.0,Male,Master'S,Senior Operations Manager,7.0,115000.0
51.0,Female,Phd,Director Of Human Resources,23.0,185000.0
28.0,Male,Bachelor'S,Junior Software Engineer,2.0,40000.0
39.0,Female,Bachelor'S,Senior Sales Representative,12.0,90000.0
48.0,Male,Master'S,Director Of Product Management,21.0,175000.0
30.0,Female,Bachelor'S,Junior Copywriter,3.0,45000.0
35.0,Male,Bachelor'S,Senior Marketing Coordinator,7.0,80000.0
41.0,Female,Master'S,Senior Human Resources Manager,13.0,120000.0
27.0,Male,Bachelor'S,Junior Business Development Associate,1.5,35000.0
40.0,Female,Bachelor'S,Senior Account Manager,14.0,110000.0
46.0,Male,Phd,Senior Researcher,18.0,150000.0
31.0,Female,Bachelor'S,Junior Hr Coordinator,4.0,50000.0
34.0,Male,Master'S,Senior Software Engineer,9.0,105000.0
50.0,Female,Master'S,Director Of Finance,20.0,180000.0
29.0,Male,Bachelor'S,Junior Marketing Coordinator,2.0,40000.0
43.0,Male,Bachelor'S,Senior Project Manager,16.0,140000.0
26.0,Female,Master'S,Junior Data Scientist,1.5,45000.0
35.0,Male,Bachelor'S,Senior Operations Analyst,7.0,85000.0
42.0,Female,Phd,Senior Marketing Manager,18.0,140000.0
31.0,Male,Bachelor'S,Junior Accountant,4.0,50000.0
38.0,Female,Bachelor'S,Senior Human Resources Coordinator,10.0,80000.0
46.0,Male,Master'S,Director Of Operations,20.0,170000.0
29.0,Female,Bachelor'S,Junior Sales Representative,2.0,40000.0
37.0,Male,Master'S,Senior Business Analyst,9.0,105000.0
44.0,Female,Phd,Senior Ux Designer,15.0,145000.0
27.0,Male,Bachelor'S,Junior Product Manager,2.0,40000.0
36.0,Female,Bachelor'S,Senior Marketing Specialist,8.0,85000.0
43.0,Male,Bachelor'S,Senior It Project Manager,14.0,130000.0
33.0,Female,Master'S,Senior Financial Analyst,6.0,95000.0
34.0,Male,Bachelor'S,Senior Quality Assurance Analyst,9.0,100000.0
50.0,Female,Phd,Director Of Sales And Marketing,22.0,180000.0
28.0,Male,Bachelor'S,Junior Operations Analyst,1.5,35000.0
39.0,Female,Bachelor'S,Senior Account Executive,12.0,95000.0
47.0,Male,Master'S,Director Of Business Development,19.0,170000.0
30.0,Female,Bachelor'S,Junior Social Media Manager,3.0,45000.0
34.0,Male,Bachelor'S,Senior Product Manager,7.0,95000.0
40.0,Female,Master'S,Senior Human Resources Specialist,13.0,120000.0
41.0,Female,Bachelor'S,Senior Marketing Coordinator,11.0,90000.0
45.0,Male,Phd,Senior Data Analyst,17.0,155000.0
32.0,Female,Bachelor'S,Junior Account Manager,5.0,55000.0
35.0,Male,Master'S,Senior Software Developer,9.0,110000.0
49.0,Female,Master'S,Director Of Human Capital,21.0,180000.0
30.0,Male,Bachelor'S,Junior Advertising Coordinator,3.0,45000.0
44.0,Male,Bachelor'S,Senior Sales Manager,16.0,130000.0
27.0,Female,Master'S,Junior Ux Designer,1.5,45000.0
36.0,Male,Bachelor'S,Senior Accountant,7.0,90000.0
41.0,Female,Phd,Senior Marketing Director,17.0,160000.0
31.0,Male,Bachelor'S,Junior Hr Generalist,4.0,50000.0
39.0,Female,Bachelor'S,Senior Operations Manager,10.0,120000.0
47.0,Male,Master'S,Director Of Finance,20.0,170000.0
30.0,Female,Bachelor'S,Junior Marketing Coordinator,2.0,40000.0
38.0,Male,Master'S,Senior It Consultant,9.0,110000.0
45.0,Female,Phd,Senior Product Designer,15.0,150000.0
28.0,Male,Bachelor'S,Junior Business Development Associate,2.0,40000.0
35.0,Female,Bachelor'S,Senior Marketing Analyst,8.0,85000.0
44.0,Male,Bachelor'S,Senior Software Engineer,14.0,130000.0
34.0,Female,Master'S,Senior Financial Advisor,6.0,100000.0
35.0,Male,Bachelor'S,Senior Project Coordinator,9.0,95000.0
50.0,Female,Phd,Director Of Operations,22.0,180000.0
29.0,Male,Bachelor'S,Junior Business Operations Analyst,1.5,35000.0
40.0,Female,Bachelor'S,Senior Sales Representative,12.0,100000.0
48.0,Male,Master'S,Director Of Marketing,19.0,170000.0
31.0,Female,Bachelor'S,Junior Social Media Specialist,3.0,45000.0
33.0,Male,Bachelor'S,Senior Product Development Manager,7.0,100000.0
42.0,Female,Master'S,Senior Human Resources Manager,13.0,140000.0
28.0,Male,Bachelor'S,Junior Financial Analyst,2.0,40000.0
40.0,Female,Bachelor'S,Senior Marketing Manager,11.0,105000.0
46.0,Male,Phd,Senior Data Scientist,18.0,160000.0
33.0,Female,Bachelor'S,Junior Operations Manager,5.0,70000.0
37.0,Male,Master'S,Senior Software Architect,9.0,120000.0
51.0,Female,Master'S,Director Of Human Resources,21.0,190000.0
30.0,Male,Bachelor'S,Junior Marketing Specialist,3.0,45000.0
43.0,Male,Bachelor'S,Senior Project Manager,15.0,120000.0
27.0,Female,Master'S,Junior Research Scientist,1.5,50000.0
35.0,Male,Bachelor'S,Senior Operations Analyst,8.0,85000.0
42.0,Female,Phd,Senior Marketing Manager,13.0,140000.0
32.0,Male,Bachelor'S,Junior Sales Representative,3.0,45000.0
37.0,Female,Bachelor'S,Senior Financial Analyst,9.0,100000.0
45.0,Male,Master'S,Senior Software Developer,16.0,140000.0
33.0,Female,Bachelor'S,Junior Operations Analyst,5.0,70000.0
39.0,Male,Bachelor'S,Senior Marketing Specialist,10.0,120000.0
44.0,Female,Phd,Senior Hr Manager,18.0,160000.0
29.0,Male,Bachelor'S,Junior Business Analyst,1.5,40000.0
38.0,Female,Bachelor'S,Senior Product Manager,10.0,120000.0
46.0,Male,Phd,Senior Data Analyst,19.0,150000.0
34.0,Female,Bachelor'S,Junior Marketing Analyst,6.0,70000.0
36.0,Male,Bachelor'S,Senior Operations Manager,8.0,95000.0
49.0,Female,Master'S,Director Of Marketing,21.0,180000.0
31.0,Male,Bachelor'S,Junior Financial Analyst,3.0,50000.0
41.0,Female,Bachelor'S,Senior Project Coordinator,11.0,95000.0
47.0,Male,Master'S,Director Of Operations,20.0,170000.0
29.0,Male,Bachelor'S,Junior Business Operations Analyst,1.5,350.0
37.0,Female,Bachelor'S,Senior Financial Manager,10.0,120000.0
31.0,Female,Bachelor'S,Junior Marketing Coordinator,3.0,50000.0
42.0,Male,Bachelor'S,Senior Operations Manager,12.0,110000.0
29.0,Female,Bachelor'S,Junior Sales Representative,1.5,40000.0
36.0,Male,Bachelor'S,Senior Marketing Specialist,8.0,95000.0
44.0,Female,Master'S,Senior Hr Specialist,15.0,140000.0
33.0,Male,Bachelor'S,Junior Operations Manager,4.0,60000.0
39.0,Female,Bachelor'S,Senior Marketing Coordinator,9.0,110000.0
45.0,Male,Phd,Senior Data Engineer,16.0,150000.0
32.0,Female,Bachelor'S,Junior Marketing Manager,4.0,60000.0
37.0,Male,Bachelor'S,Senior Financial Analyst,8.0,90000.0
47.0,Female,Master'S,Director Of Marketing,20.0,180000.0
30.0,Male,Bachelor'S,Junior Business Analyst,2.0,40000.0
38.0,Female,Bachelor'S,Senior Project Manager,9.0,120000.0
46.0,Male,Phd,Senior Data Analyst,17.0,160000.0
34.0,Female,Bachelor'S,Junior Financial Analyst,5.0,70000.0
36.0,Male,Bachelor'S,Senior Product Manager,8.0,95000.0
49.0,Female,Master'S,Director Of Operations,21.0,180000.0
31.0,Male,Bachelor'S,Junior Operations Analyst,3.0,50000.0
47.0,Male,Master'S,Director Of Marketing,19.0,170000.0
29.0,Female,Bachelor'S,Junior Business Development Associate,1.5,35000.0
35.0,Male,Bachelor'S,Senior Financial Manager,9.0,100000.0
44.0,Female,Phd,Senior Product Designer,15.0,150000.0
33.0,Male,Bachelor'S,Junior Business Analyst,4.0,60000.0
44.0,Male,Bachelor'S,Senior Software Engineer,13.0,130000.0
32.0,Male,Bachelor'S,Junior Product Manager,4.0,65000.0
38.0,Female,Bachelor'S,Senior Business Analyst,10.0,110000.0
49.0,Male,Phd,Director Of Operations,21.0,180000.0
29.0,Female,Bachelor'S,Junior Marketing Specialist,2.0,40000.0
35.0,Male,Bachelor'S,Senior Business Development Manager,7.0,90000.0
45.0,Female,Master'S,Senior Hr Manager,14.0,140000.0
33.0,Male,Bachelor'S,Junior Financial Analyst,4.0,60000.0
40.0,Female,Bachelor'S,Senior Marketing Manager,12.0,130000.0
44.0,Male,Phd,Senior Data Scientist,16.0,160000.0
30.0,Female,Bachelor'S,Junior Operations Coordinator,2.0,40000.0
37.0,Male,Bachelor'S,Senior Marketing Analyst,9.0,100000.0
48.0,Female,Master'S,Director Of Hr,20.0,180000.0
31.0,Male,Bachelor'S,Junior Project Manager,3.0,55000.0
38.0,Female,Bachelor'S,Senior Operations Coordinator,9.0,120000.0
33.0,Female,Bachelor'S,Junior Marketing Manager,5.0,70000.0
36.0,Male,Bachelor'S,Senior Business Analyst,8.0,95000.0
42.0,Female,Bachelor'S,Senior Project Manager,12.0,120000.0
34.0,Female,Master'S,Senior Financial Advisor,6.0,80000.0
30.0,Female,Bachelor'S,Junior Hr Coordinator,2.0,40000.0
37.0,Male,Bachelor'S,Senior Business Development Manager,10.0,120000.0
45.0,Female,Master'S,Senior Marketing Manager,16.0,160000.0
32.0,Male,Bachelor'S,Junior Financial Advisor,4.0,65000.0
39.0,Female,Bachelor'S,Senior Project Manager,12.0,130000.0
47.0,Male,Phd,Director Of Engineering,20.0,180000.0
29.0,Female,Bachelor'S,Junior Marketing Analyst,2.0,40000.0
36.0,Male,Bachelor'S,Senior Operations Manager,9.0,100000.0
43.0,Female,Phd,Senior Data Scientist,15.0,150000.0
32.0,Male,Bachelor'S,Junior Marketing Coordinator,3.0,55000.0
48.0,Male,Master'S,Director Of Marketing,21.0,180000.0
31.0,Female,Bachelor'S,Junior Business Development Associate,3.0,50000.0
40.0,Male,Bachelor'S,Senior Financial Analyst,12.0,130000.0
45.0,Female,Phd,Senior Ux Designer,16.0,160000.0
33.0,Male,Bachelor'S,Junior Product Manager,4.0,60000.0
36.0,Female,Bachelor'S,Senior Marketing Manager,8.0,95000.0
47.0,Male,Master'S,Director Of Operations,19.0,170000.0
29.0,Female,Bachelor'S,Junior Project Manager,2.0,40000.0
34.0,Male,Bachelor'S,Senior Operations Coordinator,7.0,90000.0
44.0,Female,Phd,Senior Business Analyst,15.0,150000.0
33.0,Male,Bachelor'S,Junior Marketing Specialist,5.0,70000.0
35.0,Female,Bachelor'S,Senior Financial Manager,8.0,90000.0
43.0,Male,Master'S,Director Of Marketing,18.0,170000.0
31.0,Female,Bachelor'S,Junior Financial Analyst,3.0,50000.0
41.0,Male,Bachelor'S,Senior Product Manager,14.0,150000.0
44.0,Female,Phd,Senior Data Engineer,16.0,160000.0
45.0,Male,Master'S,Director Of Engineering,19.0,180000.0
28.0,Female,Bachelor'S,Junior Operations Manager,1.0,35000.0
36.0,Male,Bachelor'S,Senior Business Development Manager,8.0,110000.0
44.0,Female,Phd,Senior Data Scientist,16.0,160000.0
31.0,Male,Bachelor'S,Junior Marketing Coordinator,3.0,55000.0
43.0,Male,Master'S,Director Of Operations,19.0,170000.0
31.0,Male,Master'S,Data Scientist,6.0,160000.0
28.0,Female,Bachelor'S,Software Engineer,3.0,125000.0
26.0,Male,Master'S,Product Manager,2.0,120000.0
27.0,Female,Bachelor'S,Data Analyst,2.0,110000.0
30.0,Male,Phd,Data Scientist,5.0,180000.0
29.0,Female,Bachelor'S,Software Engineer,4.0,140000.0
32.0,Male,Bachelor'S,Product Manager,7.0,170000.0
25.0,Female,Master'S,Data Analyst,1.0,100000.0
33.0,Male,Phd,Data Scientist,8.0,190000.0
31.0,Female,Bachelor'S,Software Engineer,6.0,155000.0
28.0,Male,Master'S,Product Manager,3.0,130000.0
30.0,Female,Bachelor'S,Data Analyst,5.0,145000.0
27.0,Male,Phd,Data Scientist,2.0,115000.0
34.0,Male,Bachelor'S,Product Manager,9.0,185000.0
28.0,Male,Bachelor'S,Software Engineer,3.0,125000.0
26.0,Female,Master'S,Product Manager,2.0,120000.0
27.0,Male,Bachelor'S,Data Analyst,2.0,110000.0
30.0,Female,Phd,Data Scientist,5.0,180000.0
29.0,Male,Bachelor'S,Software Engineer,4.0,140000.0
26.0,Male,Bachelor'S,Data Analyst,3.0,130000.0
