Age,Gender,Education Level,Job Title,Years of Experience,Salary
27.0,Female,Bachelor'S,Software Engineer,3.0,70000.0
48.0,Male,Phd,Director Of Data Science,18.0,210000.0
34.0,Male,Master'S,Data Scientist,9.0,140000.0
23.0,Female,Bachelor'S,Software Engineer,1.0,50000.0
32.0,Male,Master'S,Product Manager,7.0,110000.0
37.0,Male,Bachelor'S,Data Analyst,11.0,160000.0
41.0,Female,Phd,Director Of Data Science,16.0,200000.0
34.0,Male,Master'S,Data Analyst,8.0,100000.0
34.0,Female,Bachelor'S,Full Stack Engineer,8.0,122485.0
25.0,Male,Phd,Software Engineer Manager,12.0,169159.0
43.0,Male,Master'S,Senior Software Engineer,21.0,187081.0
53.0,Other,High School,Senior Project Engineer,31.0,166109.0
27.0,Female,Master'S,Front End Developer,5.0,78354.0
25.0,Male,Bachelor'S,Back End Developer,2.0,90249.0
29.0,Female,Master'S,Senior Software Engineer,6.0,132720.0
52.0,Male,Phd,Software Engineer Manager,23.0,161568.0
41.0,Male,Master'S,Front End Developer,13.0,127346.0
49.0,Female,Bachelor'S,Back End Developer,19.0,120177.0
25.0,Other,High School,Full Stack Engineer,2.0,69032.0
35.0,Male,Master'S,Senior Project Engineer,8.0,101332.0
57.0,Female,Phd,Full Stack Engineer,30.0,121450.0
35.0,Female,Bachelor'S,Senior Project Engineer,12.0,166375.0
43.0,Male,Master'S,Senior Software Engineer,21.0,185119.0
37.0,Female,Bachelor'S,Full Stack Engineer,10.0,149217.0
50.0,Male,Master'S,Software Engineer Manager,21.0,166512.0
52.0,Female,Master'S,Senior Software Engineer,28.0,186963.0
26.0,Male,Bachelor'S,Back End Developer,3.0,75072.0
34.0,Female,Master'S,Full Stack Engineer,10.0,163398.0
30.0,Male,High School,Senior Project Engineer,11.0,103947.0
60.0,Female,Phd,Software Engineer Manager,33.0,179180.0
50.0,Male,Bachelor'S,Back End Developer,23.0,175966.0
58.0,Male,Master'S,Senior Software Engineer,27.0,190004.0
35.0,Female,Master'S,Full Stack Engineer,10.0,152039.0
28.0,Male,Master'S,Front End Developer,5.0,76742.0
57.0,Female,Phd,Software Engineer Manager,33.0,191790.0
46.0,Female,Bachelor'S,Senior Software Engineer,20.0,139398.0
28.0,Male,High School,Back End Developer,7.0,95845.0
34.0,Male,Master'S,Full Stack Engineer,12.0,160976.0
33.0,Female,Master'S,Senior Project Engineer,9.0,126753.0
37.0,Other,Master'S,Full Stack Engineer,14.0,161393.0
33.0,Male,Master'S,Senior Software Engineer,8.0,139817.0
53.0,Male,Phd,Software Engineer Manager,25.0,181714.0
35.0,Female,Bachelor'S,Back End Developer,10.0,114776.0
30.0,Male,Master'S,Full Stack Engineer,6.0,105725.0
24.0,Female,High School,Senior Project Engineer,1.0,52731.0
36.0,Male,Master'S,Front End Developer,8.0,106492.0
27.0,Female,Bachelor'S,Full Stack Engineer,4.0,73895.0
23.0,Male,Phd,Software Engineer Manager,1.0,119836.0
28.0,Female,Master'S,Senior Software Engineer,5.0,99747.0
52.0,Male,Bachelor'S,Back End Developer,25.0,168287.0
28.0,Female,Master'S,Full Stack Engineer,7.0,115920.0
32.0,Male,Master'S,Senior Project Engineer,11.0,128078.0
24.0,Female,Bachelor'S,Front End Developer,1.0,51265.0
43.0,Male,High School,Senior Software Engineer,22.0,165919.0
60.0,Female,Phd,Software Engineer Manager,34.0,188651.0
24.0,Male,Master'S,Back End Developer,0.0,55538.0
55.0,Male,Bachelor'S,Senior Project Engineer,28.0,193964.0
29.0,Female,Master'S,Full Stack Engineer,4.0,104702.0
44.0,Male,Phd,Software Engineer Manager,19.0,172955.0
40.0,Female,Master'S,Senior Software Engineer,16.0,138032.0
27.0,Male,Bachelor'S,Back End Developer,4.0,82683.0
43.0,Male,Master'S,Full Stack Engineer,17.0,155414.0
49.0,Female,High School,Senior Project Engineer,25.0,154207.0
30.0,Male,Master'S,Front End Developer,8.0,107895.0
42.0,Female,Bachelor'S,Senior Software Engineer,18.0,148446.0
26.0,Male,Master'S,Full Stack Engineer,4.0,102859.0
41.0,Female,Phd,Software Engineer Manager,13.0,138662.0
46.0,Male,Bachelor'S,Senior Project Engineer,23.0,181699.0
57.0,Female,Master'S,Full Stack Engineer,33.0,188232.0
22.0,Female,High School,Back End Developer,0.0,51832.0
54.0,Male,Phd,Software Engineer Manager,28.0,188484.0
42.0,Female,Master'S,Senior Software Engineer,16.0,138286.0
49.0,Male,Bachelor'S,Full Stack Engineer,22.0,181132.0
27.0,Female,Master'S,Back End Developer,4.0,73938.0
36.0,Male,Bachelor'S,Senior Project Engineer,14.0,119224.0
31.0,Female,Master'S,Full Stack Engineer,6.0,101186.0
39.0,Male,Master'S,Software Engineer Manager,14.0,142360.0
41.0,Female,Bachelor'S,Senior Project Engineer,20.0,151315.0
48.0,Male,Phd,Full Stack Engineer,23.0,181021.0
39.0,Female,Master'S,Senior Software Engineer,15.0,134641.0
48.0,Male,Bachelor'S,Front End Developer,23.0,173851.0
31.0,Other,High School,Back End Developer,8.0,104127.0
47.0,Male,Master'S,Senior Project Engineer,25.0,178859.0
29.0,Female,Phd,Full Stack Engineer,5.0,98568.0
32.0,Male,Bachelor'S,Software Engineer Manager,9.0,104661.0
38.0,Female,Master'S,Senior Software Engineer,13.0,134858.0
34.0,Male,Bachelor'S,Back End Developer,10.0,94502.0
23.0,Other,High School,Front End Developer,2.0,62852.0
36.0,Male,Bachelor'S,Front End Developer,14.0,139095.0
30.0,Female,Master'S,Senior Project Engineer,5.0,106278.0
28.0,Male,Master'S,Full Stack Engineer,4.0,90452.0
46.0,Female,Phd,Software Engineer Manager,23.0,168304.0
34.0,Male,Bachelor'S,Back End Developer,10.0,126593.0
44.0,Male,Master'S,Senior Software Engineer,19.0,152203.0
55.0,Female,Phd,Software Engineer Manager,30.0,183138.0
35.0,Male,Master'S,Full Stack Engineer,9.0,130275.0
54.0,Male,Bachelor'S,Senior Project Engineer,29.0,191915.0
23.0,Female,High School,Back End Developer,2.0,62807.0
46.0,Male,Master'S,Senior Software Engineer,21.0,174305.0
33.0,Female,Bachelor'S,Full Stack Engineer,9.0,133326.0
26.0,Male,Master'S,Front End Developer,4.0,75656.0
43.0,Female,Phd,Software Engineer Manager,19.0,155944.0
36.0,Male,Master'S,Full Stack Engineer,11.0,137775.0
23.0,Female,Bachelor'S,Senior Project Engineer,0.0,51831.0
49.0,Male,Master'S,Software Engineer Manager,22.0,182237.0
35.0,Female,Master'S,Full Stack Engineer,10.0,151901.0
31.0,Male,Bachelor'S,Back End Developer,8.0,100052.0
54.0,Other,High School,Senior Software Engineer,29.0,158254.0
43.0,Male,Master'S,Full Stack Engineer,20.0,167207.0
33.0,Female,Master'S,Senior Project Engineer,10.0,112439.0
52.0,Female,Phd,Software Engineer Manager,29.0,194214.0
28.0,Male,Bachelor'S,Full Stack Engineer,5.0,84407.0
36.0,Female,Master'S,Senior Software Engineer,13.0,139413.0
43.0,Male,Bachelor'S,Senior Project Engineer,20.0,143084.0
50.0,Female,Master'S,Full Stack Engineer,25.0,192344.0
24.0,Male,Phd,Software Engineer Manager,1.0,106132.0
52.0,Male,Master'S,Senior Software Engineer,26.0,184816.0
46.0,Female,Bachelor'S,Back End Developer,19.0,150248.0
38.0,Male,Master'S,Full Stack Engineer,15.0,170995.0
29.0,Male,Bachelor'S,Senior Project Engineer,6.0,88035.0
33.0,Female,Master'S,Front End Developer,10.0,119419.0
47.0,Male,Phd,Software Engineer Manager,21.0,173582.0
45.0,Female,Master'S,Senior Software Engineer,23.0,174436.0
28.0,Male,Bachelor'S,Back End Developer,4.0,71699.0
42.0,Female,Master'S,Full Stack Engineer,14.0,163558.0
46.0,Male,Bachelor'S,Senior Project Engineer,24.0,166828.0
38.0,Female,Phd,Software Engineer Manager,15.0,144496.0
54.0,Male,Master'S,Senior Software Engineer,31.0,193746.0
33.0,Female,Master'S,Full Stack Engineer,8.0,122581.0
27.0,Male,High School,Back End Developer,4.0,79767.0
50.0,Female,Bachelor'S,Senior Project Engineer,25.0,177177.0
26.0,Male,Master'S,Full Stack Engineer,4.0,89843.0
31.0,Female,Master'S,Senior Software Engineer,6.0,113563.0
35.0,Male,Bachelor'S,Front End Developer,10.0,128712.0
44.0,Female,Phd,Software Engineer Manager,18.0,161621.0
32.0,Male,Master'S,Senior Project Engineer,8.0,121454.0
54.0,Male,Bachelor'S,Full Stack Engineer,25.0,179987.0
26.0,Female,Master'S,Front End Developer,3.0,72649.0
23.0,Male,Phd,Software Engineer Manager,0.0,52612.0
48.0,Female,Master'S,Senior Software Engineer,24.0,184006.0
38.0,Male,Bachelor'S,Back End Developer,12.0,131960.0
30.0,Female,Master'S,Full Stack Engineer,5.0,102465.0
40.0,Male,Master'S,Software Engineer Manager,16.0,149748.0
45.0,Female,Bachelor'S,Senior Project Engineer,22.0,171036.0
36.0,Male,Master'S,Full Stack Engineer,13.0,146351.0
52.0,Male,Phd,Software Engineer Manager,26.0,185462.0
31.0,Female,Bachelor'S,Senior Software Engineer,7.0,107718.0
26.0,Male,Master'S,Full Stack Engineer,4.0,90944.0
30.0,Female,Master'S,Senior Project Engineer,5.0,100425.0
24.0,Male,Bachelor'S,Back End Developer,2.0,63901.0
45.0,Male,Master'S,Senior Software Engineer,22.0,181902.0
33.0,Female,Master'S,Full Stack Engineer,9.0,136533.0
38.0,Male,Bachelor'S,Front End Developer,11.0,136285.0
54.0,Female,Phd,Software Engineer Manager,31.0,191818.0
42.0,Male,Master'S,Full Stack Engineer,19.0,176643.0
28.0,Female,Bachelor'S,Senior Project Engineer,4.0,70022.0
30.0,Male,Master'S,Front End Developer,6.0,99363.0
43.0,Female,Master'S,Senior Software Engineer,19.0,152944.0
35.0,Male,Bachelor'S,Back End Developer,10.0,123386.0
44.0,Male,Master'S,Full Stack Engineer,21.0,168906.0
55.0,Female,Bachelor'S,Senior Project Engineer,30.0,183020.0
23.0,Male,High School,Front End Developer,1.0,47898.0
39.0,Female,Master'S,Senior Software Engineer,14.0,135853.0
43.0,Male,Bachelor'S,Full Stack Engineer,17.0,149198.0
29.0,Male,Phd,Software Engineer Manager,6.0,106662.0
51.0,Male,Master'S,Senior Software Engineer,28.0,186610.0
30.0,Female,Bachelor'S,Senior Project Engineer,6.0,89995.0
26.0,Male,Master'S,Full Stack Engineer,4.0,85825.0
39.0,Female,Phd,Software Engineer Manager,13.0,143814.0
49.0,Male,Master'S,Front End Developer,24.0,174726.0
42.0,Female,Bachelor'S,Senior Software Engineer,20.0,150534.0
27.0,Male,Bachelor'S,Back End Developer,4.0,68732.0
43.0,Male,Master'S,Full Stack Engineer,21.0,187951.0
37.0,Female,Bachelor'S,Senior Project Engineer,13.0,137336.0
51.0,Male,Phd,Software Engineer Manager,26.0,191159.0
29.0,Female,Master'S,Full Stack Engineer,5.0,102868.0
43.0,Male,Bachelor'S,Senior Software Engineer,20.0,154281.0
31.0,Male,Master'S,Back End Developer,8.0,111535.0
30.0,Female,Master'S,Senior Project Engineer,6.0,107906.0
36.0,Male,Bachelor'S,Full Stack Engineer,13.0,143885.0
52.0,Female,Phd,Software Engineer Manager,27.0,180958.0
28.0,Male,Master'S,Senior Software Engineer,6.0,108607.0
49.0,Male,Bachelor'S,Back End Developer,24.0,178284.0
27.0,Female,Master'S,Front End Developer,4.0,75969.0
41.0,Male,Master'S,Senior Project Engineer,15.0,143705.0
56.0,Female,Phd,Software Engineer Manager,31.0,197354.0
46.0,Male,Bachelor'S,Senior Software Engineer,22.0,174324.0
32.0,Female,Master'S,Full Stack Engineer,8.0,123781.0
38.0,Male,Phd,Software Engineer Manager,12.0,141735.0
52.0,Male,Master'S,Senior Project Engineer,28.0,187120.0
24.0,Female,Bachelor'S,Back End Developer,1.0,61095.0
49.0,Male,Master'S,Full Stack Engineer,22.0,179045.0
35.0,Female,Master'S,Senior Software Engineer,10.0,130355.0
31.0,Male,Bachelor'S,Front End Developer,7.0,103282.0
44.0,Female,Phd,Software Engineer Manager,18.0,157872.0
33.0,Male,Master'S,Senior Project Engineer,10.0,117314.0
54.0,Male,Bachelor'S,Senior Software Engineer,30.0,186321.0
33.0,Female,Master'S,Full Stack Engineer,11.0,129686.0
27.0,Male,High School,Back End Developer,3.0,68611.0
51.0,Female,Master'S,Senior Project Engineer,25.0,177913.0
26.0,Male,Master'S,Full Stack Engineer,3.0,68472.0
31.0,Female,Master'S,Senior Software Engineer,6.0,113065.0
35.0,Male,Bachelor'S,Front End Developer,9.0,125091.0
45.0,Female,Phd,Software Engineer Manager,23.0,172925.0
32.0,Male,Master'S,Senior Project Engineer,9.0,126916.0
54.0,Male,Bachelor'S,Full Stack Engineer,27.0,183417.0
26.0,Female,Master'S,Front End Developer,4.0,76898.0
23.0,Male,Phd,Software Engineer Manager,1.0,579.0
26.0,Female,Bachelor'S,Software Engineer,2.0,65000.0
33.0,Male,Master'S,Data Analyst,8.0,120000.0
29.0,Female,Bachelor'S,Product Manager,4.0,90000.0
41.0,Male,Phd,Data Scientist,15.0,190000.0
35.0,Female,Master'S,Software Engineer,9.0,140000.0
28.0,Male,Bachelor'S,Software Developer,3.0,75000.0
37.0,Female,Master'S,Data Scientist,11.0,160000.0
33.0,Male,Bachelor'S,Product Manager,8.0,130000.0
24.0,Female,Master'S,Software Engineer,2.0,60000.0
46.0,Male,Phd,Director Of Data Science,20.0,220000.0
29.0,Female,Bachelor'S,Software Developer,5.0,80000.0
31.0,Male,Master'S,Data Scientist,7.0,130000.0
27.0,Female,Bachelor'S,Software Engineer,3.0,65000.0
38.0,Male,Phd,Senior Data Scientist,13.0,170000.0
30.0,Female,Master'S,Product Manager,6.0,110000.0
25.0,Male,Bachelor'S,Front End Developer,2.0,50000.0
44.0,Male,Phd,Director Of Data Science,18.0,210000.0
33.0,Female,Master'S,Data Analyst,8.0,100000.0
22.0,Male,Bachelor'S,Software Engineer,1.0,50000.0
36.0,Male,Master'S,Product Manager,10.0,160000.0
28.0,Female,Bachelor'S,Software Engineer,4.0,70000.0
41.0,Male,Phd,Senior Data Scientist,16.0,190000.0
34.0,Female,Master'S,Data Scientist,9.0,140000.0
23.0,Male,Bachelor'S,Software Developer,1.0,45000.0
32.0,Female,Master'S,Product Manager,7.0,120000.0
25.0,Male,Master'S,Software Engineer,2.0,60000.0
37.0,Female,Bachelor'S,Data Analyst,11.0,150000.0
28.0,Male,Bachelor'S,Software Engineer,4.0,70000.0
29.0,Female,Bachelor'S,Full Stack Engineer,6.0,103579.0
45.0,Male,Master'S,Software Engineer Manager,19.0,163780.0
36.0,Male,Bachelor'S,Front End Developer,12.0,137878.0
30.0,Female,Master'S,Senior Project Engineer,4.0,92438.0
28.0,Male,Master'S,Full Stack Engineer,5.0,84181.0
46.0,Female,Phd,Software Engineer Manager,21.0,174821.0
34.0,Male,Bachelor'S,Back End Developer,10.0,126520.0
44.0,Male,Master'S,Senior Software Engineer,18.0,152168.0
55.0,Female,Phd,Software Engineer Manager,29.0,190543.0
35.0,Male,Master'S,Full Stack Engineer,9.0,131547.0
54.0,Male,Bachelor'S,Senior Project Engineer,28.0,192292.0
23.0,Female,High School,Back End Developer,1.0,52807.0
46.0,Male,Master'S,Senior Software Engineer,20.0,174938.0
33.0,Female,Bachelor'S,Full Stack Engineer,8.0,124071.0
26.0,Male,Master'S,Front End Developer,3.0,73640.0
43.0,Female,Phd,Software Engineer Manager,19.0,156486.0
36.0,Male,Master'S,Full Stack Engineer,11.0,138859.0
23.0,Female,Bachelor'S,Senior Project Engineer,0.0,52831.0
49.0,Male,Master'S,Software Engineer Manager,23.0,182392.0
35.0,Female,Master'S,Full Stack Engineer,11.0,151078.0
31.0,Male,Bachelor'S,Back End Developer,8.0,100679.0
54.0,Other,High School,Senior Software Engineer,29.0,158966.0
43.0,Male,Master'S,Full Stack Engineer,20.0,167924.0
33.0,Female,Master'S,Senior Project Engineer,10.0,113334.0
52.0,Female,Phd,Software Engineer Manager,29.0,194778.0
28.0,Male,Bachelor'S,Full Stack Engineer,4.0,77606.0
36.0,Female,Master'S,Senior Software Engineer,13.0,140010.0
43.0,Male,Bachelor'S,Senior Project Engineer,20.0,142421.0
50.0,Female,Master'S,Full Stack Engineer,24.0,192756.0
24.0,Male,Phd,Software Engineer Manager,1.0,106686.0
52.0,Male,Master'S,Senior Software Engineer,27.0,186794.0
46.0,Female,Bachelor'S,Back End Developer,19.0,150729.0
38.0,Male,Master'S,Full Stack Engineer,15.0,171652.0
29.0,Male,Bachelor'S,Senior Project Engineer,6.0,88552.0
33.0,Female,Master'S,Front End Developer,9.0,119918.0
47.0,Male,Phd,Software Engineer Manager,21.0,174985.0
45.0,Female,Master'S,Senior Software Engineer,23.0,174336.0
28.0,Male,Bachelor'S,Back End Developer,4.0,72389.0
42.0,Female,Master'S,Full Stack Engineer,14.0,163978.0
46.0,Male,Bachelor'S,Senior Project Engineer,25.0,166958.0
38.0,Female,Phd,Software Engineer Manager,15.0,145052.0
54.0,Male,Master'S,Senior Software Engineer,32.0,195270.0
33.0,Female,Master'S,Full Stack Engineer,8.0,122970.0
27.0,Male,High School,Back End Developer,4.0,80247.0
50.0,Female,Bachelor'S,Senior Project Engineer,25.0,177862.0
26.0,Male,Master'S,Full Stack Engineer,4.0,91062.0
31.0,Female,Master'S,Senior Software Engineer,6.0,114290.0
35.0,Male,Bachelor'S,Front End Developer,10.0,128999.0
44.0,Female,Phd,Software Engineer Manager,18.0,162454.0
32.0,Male,Master'S,Senior Project Engineer,8.0,122354.0
54.0,Male,Bachelor'S,Full Stack Engineer,25.0,179756.0
26.0,Female,Master'S,Front End Developer,3.0,73218.0
48.0,Female,Master'S,Senior Software Engineer,24.0,184480.0
38.0,Male,Bachelor'S,Back End Developer,12.0,132442.0
30.0,Female,Master'S,Full Stack Engineer,5.0,102828.0
40.0,Male,Master'S,Software Engineer Manager,16.0,150301.0
45.0,Female,Bachelor'S,Senior Project Engineer,22.0,171468.0
36.0,Male,Master'S,Full Stack Engineer,13.0,147326.0
52.0,Male,Phd,Software Engineer Manager,26.0,185982.0
31.0,Female,Bachelor'S,Senior Software Engineer,7.0,108267.0
26.0,Male,Master'S,Full Stack Engineer,4.0,91397.0
30.0,Female,Master'S,Senior Project Engineer,5.0,100867.0
24.0,Male,Bachelor'S,Back End Developer,2.0,64182.0
45.0,Male,Master'S,Senior Software Engineer,22.0,182506.0
33.0,Female,Master'S,Full Stack Engineer,9.0,136986.0
38.0,Male,Bachelor'S,Front End Developer,11.0,136662.0
54.0,Female,Phd,Software Engineer Manager,32.0,191510.0
42.0,Male,Master'S,Full Stack Engineer,19.0,177347.0
28.0,Female,Bachelor'S,Senior Project Engineer,3.0,70397.0
34.0,Male,Master'S,Software Engineer Manager,9.0,146075.0
46.0,Female,Bachelor'S,Back End Developer,18.0,155795.0
35.0,Male,Master'S,Full Stack Engineer,9.0,132638.0
49.0,Female,Phd,Software Engineer Manager,22.0,178684.0
32.0,Male,Bachelor'S,Senior Software Engineer,7.0,106218.0
54.0,Male,Master'S,Full Stack Engineer,28.0,191239.0
26.0,Female,Master'S,Front End Developer,2.0,65840.0
23.0,Male,Phd,Software Engineer Manager,0.0,52779.0
48.0,Female,Master'S,Senior Software Engineer,23.0,185038.0
38.0,Male,Bachelor'S,Back End Developer,14.0,136449.0
30.0,Female,Master'S,Full Stack Engineer,6.0,110707.0
40.0,Male,Master'S,Software Engineer Manager,17.0,151670.0
45.0,Female,Bachelor'S,Senior Project Engineer,21.0,167015.0
36.0,Male,Master'S,Full Stack Engineer,13.0,146508.0
52.0,Male,Phd,Software Engineer Manager,27.0,190596.0
31.0,Female,Bachelor'S,Senior Software Engineer,6.0,104378.0
26.0,Male,Master'S,Full Stack Engineer,3.0,70216.0
30.0,Female,Master'S,Senior Project Engineer,5.0,101733.0
24.0,Male,Bachelor'S,Back End Developer,1.0,55935.0
45.0,Male,Master'S,Senior Software Engineer,21.0,180367.0
33.0,Female,Master'S,Full Stack Engineer,9.0,135596.0
38.0,Male,Bachelor'S,Front End Developer,11.0,136062.0
54.0,Female,Phd,Software Engineer Manager,32.0,191267.0
26.0,Male,Master'S,Full Stack Engineer,3.0,91397.0
28.0,Female,Bachelor'S,Senior Project Engineer,4.0,82944.0
48.0,Male,Phd,Software Engineer Manager,23.0,188288.0
36.0,Female,Master'S,Senior Software Engineer,14.0,141090.0
43.0,Male,Bachelor'S,Full Stack Engineer,19.0,152726.0
33.0,Female,Master'S,Back End Developer,9.0,124141.0
26.0,Male,Bachelor'S,Front End Developer,3.0,67556.0
50.0,Female,Master'S,Senior Project Engineer,22.0,182768.0
41.0,Male,Phd,Software Engineer Manager,15.0,148727.0
29.0,Female,Bachelor'S,Full Stack Engineer,6.0,91903.0
38.0,Male,Master'S,Senior Software Engineer,14.0,147708.0
48.0,Female,Bachelor'S,Senior Project Engineer,21.0,163209.0
31.0,Male,Master'S,Full Stack Engineer,8.0,120288.0
45.0,Male,Phd,Software Engineer Manager,21.0,170226.0
35.0,Female,Master'S,Senior Software Engineer,11.0,134979.0
42.0,Male,Bachelor'S,Back End Developer,16.0,137489.0
27.0,Female,Master'S,Full Stack Engineer,4.0,83577.0
33.0,Male,Bachelor'S,Front End Developer,9.0,117904.0
36.0,Female,Master'S,Senior Project Engineer,11.0,134482.0
54.0,Male,Phd,Software Engineer Manager,30.0,184660.0
30.0,Female,Bachelor'S,Senior Software Engineer,5.0,100151.0
26.0,Male,Master'S,Full Stack Engineer,3.0,88678.0
